cit_id;cit_auteur;cit_contenu
1;Proverbe oriental;La vie de ce monde est un jeu d'enfants.
2;Jean de Rotrou;La vie est un jeu.
3;Jacques Folch-Ribas;Le destin met beaucoup de hasard dans son jeu.
4;Pierre Joliot;La recherche doit avant tout être un jeu et un plaisir.
5;Amélie Nothomb;Le prénom est la clé de la personne. C'est le cliquetis délicat de sa serrure quand on veut ouvrir sa porte. C'est la musique métallique qui rend le don possible.
6;Pierre Le Rouzic;Votre nom, c'est votre carte d'identité, votre matricule; votre prénom, c'est vous, dans l'intimité de la famille, dans la chaleur de l'amitié, de la camaraderie, dans les élans de l'amour.
7;Alice Chansenet;Choisir un prénom est un acte de liberté incroyable : c'est une création qui s'accompagne de l'impression de baliser un destin.
8;Franck Ntasamara;La vie est un jeu de hasard et chaque décision que vous prendrez orientera votre destinée.
9;Ginette Reno;Un des plus beaux cadeaux que nous ait fait la vie, c'est quand notre prénom a l'air d'un mot gentil.
10;Pierre Brochant et François Pignon(Le dîner de cons);- Il s'appelle Juste Leblanc. - Ah bon, il n'a pas de prénom ?
